"No.","IP Address","Type","Serial Number","Code","Receive Date","Warranty Date","DocRefer1","DocRefer2","Brand","Model","CPU Brand","CPU Speed","Capacity","Ram","Detail 1","Detail 2","Detail 3","Detail 4","Detail 5","Detail 6","OS License","OS Installed","Note","Location" 
"77","192.168.10.115","Monitor","CN-0M875N-64180-95Q-3PRU","FA09-07-007","Aug 25 2009 12:00AM","36","CH-QC-003"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC01                                ","QA/QC OfficeFactory 1" 
"78","192.168.10.116","Computer","DB9922S","FA09-07-008","Aug 25 2009 12:00AM","36","CH-QC-004"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","2048","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9A-EA-5E","32 bit","Windows Vista","Windows XP","QAQC04    ","QA/QC OfficeFactory 1" 
"79","192.168.10.116","Monitor","CN-0M875N-64180-95Q-3PEU","FA09-07-008","Aug 25 2009 12:00AM","36","CH-QC-004"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC04                                    ","QA/QC OfficeFactory 1" 
"80","192.168.10.117","Computer","CB9922S","FA09-07-009","Aug 25 2009 12:00AM","36","CH-QC-001"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","2048","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","00-23-AE-9B-09-69","32 bit","Windows Vista","Windows XP","QAQC02                                                                                                           ","QAQC 300%Factory 1" 
"81","192.168.10.117","Monitor","CN-0M875N-64180-95Q-3PQU ","FA09-07-009","Aug 25 2009 12:00AM","36","CH-QC-001"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC02                                                                                               ","QAQC 300%Factory 1" 
"82","192.168.10.118","Computer","6LGWB2S","FA12-01-321","Jan 20 2012 12:00AM","36","CH-QC-005"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-27-34-DD","32 bit","Windows 7","Windows 7","QAQC05      ","QA/QC OfficeFactory 1" 
"83","192.168.10.118","Monitor","CN-04H19R-72872-1AH-AF3M","FA12-01-321","Jan 20 2012 12:00AM","36","CH-QC-005"," ","DELL","E1912Hf - LED 18 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC05                                        ","QA/QC OfficeFactory 1" 
"84","192.168.10.119","Computer","BDFYB2S","FA12-03-329","Mar 9 2012 12:00AM","36","CH-QC-006"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-2A-4C-C6","32 bit","Windows 7","Windows 7","QAQC03      ","QA/QC OfficeFactory 1" 
"85","192.168.10.119","Monitor","CN-04H19R-72872-18A-5NCM","FA12-03-329","Mar 9 2012 12:00AM","36","CH-QC-006"," ","DELL","E1912Hf - LED 18 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC03                           ","QA/QC OfficeFactory 1" 
"86","192.168.10.120","Computer","61LSD2S","FA12-09-364","Sep 5 2012 12:00AM","36","CH-QC-010"," ","DELL","OptiPlex 390","Intel Core i3 - 2120","3.30","500","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","78-45-C4-15-6F-07 ","32 bit","Windows 7","Windows 7","QAQC06","QA/QC OfficeFactory 1" 
"87","192.168.10.120","Monitor","CN-0R49DY-64180-276-1TLL","FA12-09-364","Sep 5 2012 12:00AM","36","CH-QC-010"," ","DELL","E1713SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC06                                      ","QA/QC OfficeFactory 1" 
"88","192.168.10.121","Computer","CSQ7NW1","FA13-05-411","May 28 2013 12:00AM","36","CH-AS-004"," ","DELL","OptiPlex 3010 ","Intel Core i3 - 3220","3.30","500","4096","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","A4-1F-72-63-B7-AD","32 bit","Windows 7","Windows 7","PA01       ","Production OfficeFactory 1" 
"89","192.168.10.121","Monitor","CN-04H19R-72872-1AL-HATM","FA11-11-306","Nov 25 2011 12:00AM","36","CH-AS-003"," ","DELL","E1912HF - LED18.5 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","PA01                                                                                       ","Production OfficeFactory 1" 
"90","192.168.10.122","Computer","IFW7B2S","FA11-11-306","Nov 25 2011 12:00AM","36","CH-AS-003"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-0E-E6-4E","32 bit","Windows 7","Windows 7","PA02                                                   ","Production OfficeFactory 1" 
"91","192.168.10.122","Monitor","CN-ODM06C-64180-2BM-37DU","FA13-05-411","May 28 2013 12:00AM","36","CH-AS-004"," ","DELL","E1713SC - LED 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","PA02","Production OfficeFactory 1" 
